web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,V_1,V_2,V_3,V_4,V_4-href
"1732590576-56","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","Terrain en vendre","https://www.dakarvente.com/annonce-3436-terrain-en-vendre.html","Terrain en vendre","6.500  FCFA","Thiès","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590580-57","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","8 terrains a kirene commune de diass","https://www.dakarvente.com/annonce-3483-8-terrains-a-kirene-commune-de-diass.html","8 terrains a kirene commune de diass","1.500.000  FCFA","Thiès","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590586-58","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","150 hectares a diamgnadio","https://www.dakarvente.com/annonce-3531-150-hectares-a-diamgnadio.html","150 hectares a diamgnadio","25.000  FCFA","Diamniadio","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590590-59","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","Terrain de 300 m² a sebikotane","https://www.dakarvente.com/annonce-3562-terrain-de-300-m-a-sebikotane.html","Terrain de 300 m² a sebikotane","6.000.000  FCFA","Sébikotane","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590598-60","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","4000 parcelles de 150 m²","https://www.dakarvente.com/annonce-3568-4000-parcelles-de-150-m.html","4000 parcelles de 150 m²","2.500.000  FCFA","Thiès","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590604-61","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","200 hectares diamniadio","https://www.dakarvente.com/annonce-3660-200-hectares-diamniadio.html","200 hectares diamniadio","25.000  FCFA","Diamniadio","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590611-62","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","terrain titre foncier","https://www.dakarvente.com/annonce-3761-terrain-titre-foncier.html","terrain titre foncier","105.000.000  FCFA","Sicap liberté","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590616-63","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","Terrains TF à vendre à Keur Massar payables en tranches","https://www.dakarvente.com/annonce-3566-terrains-tf-vendre-keur-massar-payables-en-tranches.html","Terrains TF à vendre à Keur Massar payables en tranches","6.500.000  FCFA","Keur Massar","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590625-64","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","Vente Terrains 300 m2","https://www.dakarvente.com/annonce-3788-vente-terrains-300-m2-somone.html","Vente Terrains 300 m2","12.000.000  FCFA","Somone","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590629-65","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","A vendre un terrain à Zac Mbao","https://www.dakarvente.com/annonce-3840-a-vendre-un-terrain-zac-mbao.html","A vendre un terrain à Zac Mbao","250.000.000  FCFA","Rufisque","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590633-66","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","A vendre des terrains à Rufisque","https://www.dakarvente.com/annonce-3854-a-vendre-des-terrains-rufisque.html","A vendre des terrains à Rufisque","","Rufisque","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590638-67","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","Terrains à Bambilor","https://www.dakarvente.com/annonce-3857-terrain-en-vendre.html","Terrains à Bambilor","2.000.000  FCFA","Rufisque","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590642-68","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","Terrains à vendre à Diass","https://www.dakarvente.com/annonce-3861-terrains-a-vendre-a-diass.html","Terrains à vendre à Diass","","Thiès","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590645-69","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","A vendre un terrain à Rufisque","https://www.dakarvente.com/annonce-3868-a-vendre-un-terrain-rufisque.html","A vendre un terrain à Rufisque","","Rufisque","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590651-70","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","A vendre un terrain à Rufisque","https://www.dakarvente.com/annonce-3881-a-vendre-un-terrain-rufisque.html","A vendre un terrain à Rufisque","45.000  FCFA","Rufisque","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590666-71","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","Terrain en vendre","https://www.dakarvente.com/annonce-3883-terrain-en-vendre.html","Terrain en vendre","600.000  FCFA","HLM","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590669-72","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","A vendre un terrain sur le prolongement de VDN","https://www.dakarvente.com/annonce-3913-a-vendre-un-terrain-sur-le-prolongement-de-vdn.html","A vendre un terrain sur le prolongement de VDN","85.000  FCFA","Cambérène","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590675-73","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","Terrain a vendre","https://www.dakarvente.com/annonce-3925-terrain-a-vendre.html","Terrain a vendre","7.500.000  FCFA","Rufisque","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590681-74","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","Terrain à céder à Cap skirring","https://www.dakarvente.com/annonce-4031-terrain-cder-cap-skirring.html","Terrain à céder à Cap skirring","4.000.000  FCFA","Ziguinchor","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590692-75","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","Terrain à vendre","https://www.dakarvente.com/annonce-4044-terrain-a-vendre.html","Terrain à vendre","9.500.000  FCFA","Keur Massar","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590698-76","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","A vendre une villa à démolir au Point E","https://www.dakarvente.com/annonce-4105-a-vendre-une-villa-dmolir-au-point-e.html","A vendre une villa à démolir au Point E","","Point E","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590703-77","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","Des terrain a vendre","https://www.dakarvente.com/annonce-4117-des-terrain-a-vendre.html","Des terrain a vendre","1.000.000  FCFA","Rufisque","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590709-78","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","Terrain à vendre à la cité sipres","https://www.dakarvente.com/annonce-4118-terrain-a-vendre.html","Terrain à vendre à la cité sipres","18.000.000  FCFA","Rufisque","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590714-79","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","Terrain à vendre","https://www.dakarvente.com/annonce-4158-terrain-a-vendre.html","Terrain à vendre","14.000.000  FCFA","Rufisque","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
"1732590735-80","https://dakarvente.com/index.php?page=annonces_categorie&id=13&sort=&nb=54","Terrain Fann Résidence Pied dans l'eau","https://www.dakarvente.com/annonce-4284-terrain-fann-rsidence-pied-dans-l-eau.html","Terrain Fann Résidence Pied dans l'eau","1.300.000  FCFA","Fann","terrains à vendre","https://dakarvente.com/annonces-categorie-terrains-vendre-13.html"
